facilityType,seNumber,sectionUid,sectionName,dataElementUid,dataElementCode,dhis2DataElementCode,dhis2DataElementName,sortOrder,active
HOSPITAL,5,,Patient and Family Rights,,5.2.1.3,,,218,TRUE
HOSPITAL,5,,Patient and Family Rights,,5.2.1.4,,,219,TRUE
HOSPITAL,5,,Patient and Family Rights,,5.2.2.1,,,220,TRUE
HOSPITAL,5,,Patient and Family Rights,,5.2.2.2,,,221,TRUE
HOSPITAL,5,,Patient and Family Rights,,5.2.2.3,,,222,TRUE
HOSPITAL,5,,Patient and Family Rights,,5.3.1.1,,,223,TRUE
HOSPITAL,5,,Patient and Family Rights,,5.3.1.2,,,224,TRUE
HOSPITAL,5,,Patient and Family Rights,,5.4.1.1,,,225,TRUE
HOSPITAL,5,,Patient and Family Rights,,5.4.1.2,,,226,TRUE
HOSPITAL,5,,Patient and Family Rights,,5.4.2.1,,,227,TRUE
HOSPITAL,5,,Patient and Family Rights,,5.4.2.2,,,228,TRUE
HOSPITAL,5,,Patient and Family Rights,,5.4.2.3,,,229,TRUE
HOSPITAL,5,,Patient and Family Rights,,5.4.2.4,,,230,TRUE
HOSPITAL,5,,Patient and Family Rights,,5.4.2.5,,,231,TRUE
HOSPITAL,5,,Patient and Family Rights,,5.5.1.1,,,232,TRUE
HOSPITAL,5,,Patient and Family Rights,,5.5.1.2,,,233,TRUE
HOSPITAL,5,,Patient and Family Rights,,5.5.1.3,,,234,TRUE
HOSPITAL,5,,Patient and Family Rights,,5.6.1.1,,,235,TRUE
HOSPITAL,5,,Patient and Family Rights,,5.6.1.2,,,236,TRUE
HOSPITAL,5,,Patient and Family Rights,,5.6.1.3,,,237,TRUE
HOSPITAL,5,,Patient and Family Rights,,5.6.1.4,,,238,TRUE
HOSPITAL,5,,Patient and Family Rights,,5.6.1.5,,,239,TRUE
HOSPITAL,6,,Management of Information,,6.1.1.1,,,240,TRUE
HOSPITAL,6,,Management of Information,,6.1.1.2,,,241,TRUE
HOSPITAL,6,,Management of Information,,6.1.1.3,,,242,TRUE
HOSPITAL,6,,Management of Information,,6.1.2.1,,,243,TRUE
HOSPITAL,6,,Management of Information,,6.1.2.2,,,244,TRUE
HOSPITAL,6,,Management of Information,,6.2.1.1,,,245,TRUE
