facilityType,sourceCriterionCode,sourceDescription,linkType,targetCriterionCode,sortOrder,scoringWeight,includeInTooltip,active
HOSPITAL,1.2.1.4,The senior manager assures compliance with applicable laws and regulations,root,3.4.1.8,16,1,TRUE,TRUE
HOSPITAL,1.2.1.4,The senior manager assures compliance with applicable laws and regulations,root,3.4.1.9,17,1,TRUE,TRUE
HOSPITAL,1.2.1.4,The senior manager assures compliance with applicable laws and regulations,root,3.4.2.2,18,1,TRUE,TRUE
HOSPITAL,1.2.1.4,The senior manager assures compliance with applicable laws and regulations,root,5.2.1.3,19,1,TRUE,TRUE
HOSPITAL,1.2.1.4,The senior manager assures compliance with applicable laws and regulations,root,6.1.2.1,20,1,TRUE,TRUE
HOSPITAL,1.2.1.4,The senior manager assures compliance with applicable laws and regulations,root,6.3.2.2,21,1,TRUE,TRUE
HOSPITAL,1.2.1.4,The senior manager assures compliance with applicable laws and regulations,root,7.3.1.1,22,1,TRUE,TRUE
HOSPITAL,1.2.1.4,The senior manager assures compliance with applicable laws and regulations,root,7.5.1.1,23,1,TRUE,TRUE
HOSPITAL,1.2.1.4,The senior manager assures compliance with applicable laws and regulations,root,7.7.1.1,24,1,TRUE,TRUE
HOSPITAL,1.2.1.5,The senior manager responds to any reports from inspecting and regulatory agencies. -3,linked_criteria,1.2.1.4-G,1,1,TRUE,TRUE
HOSPITAL,1.2.1.5,The senior manager responds to any reports from inspecting and regulatory agencies. -3,linked_criteria,18.3.2.1,2,1,TRUE,TRUE
HOSPITAL,1.2.1.5,The senior manager responds to any reports from inspecting and regulatory agencies. -3,linked_criteria,18.3.4.4,3,1,TRUE,TRUE
HOSPITAL,1.2.1.5,The senior manager responds to any reports from inspecting and regulatory agencies. -3,linked_criteria,20.2.2.1,4,1,TRUE,TRUE
HOSPITAL,1.2.1.5,The senior manager responds to any reports from inspecting and regulatory agencies. -3,linked_criteria,3.1.1.7,5,1,TRUE,TRUE
HOSPITAL,1.2.1.5,The senior manager responds to any reports from inspecting and regulatory agencies. -3,root,1.2.1.4,1,1,TRUE,TRUE
HOSPITAL,1.2.1.5,The senior manager responds to any reports from inspecting and regulatory agencies. -3,root,18.3.2.1,2,1,TRUE,TRUE
HOSPITAL,1.2.1.5,The senior manager responds to any reports from inspecting and regulatory agencies. -3,root,20.2.2.1,3,1,TRUE,TRUE
HOSPITAL,1.2.1.5,The senior manager responds to any reports from inspecting and regulatory agencies. -3,root,20.2.2.2,4,1,TRUE,TRUE
HOSPITAL,1.2.1.5,The senior manager responds to any reports from inspecting and regulatory agencies. -3,root,20.2.2.3,5,1,TRUE,TRUE
HOSPITAL,1.2.1.5,The senior manager responds to any reports from inspecting and regulatory agencies. -3,root,3.1.1.7,6,1,TRUE,TRUE
HOSPITAL,1.2.1.5,The senior manager responds to any reports from inspecting and regulatory agencies. -3,root,5.3.1.2,7,1,TRUE,TRUE
HOSPITAL,1.2.1.5,The senior manager responds to any reports from inspecting and regulatory agencies. -3,root,7.5.1.1,8,1,TRUE,TRUE
HOSPITAL,1.2.2.1,"The senior manager facilitates communication and cooperation between the organisation's governance structure, management and the community",linked_criteria,1.1.1.7-G,1,1,TRUE,TRUE
HOSPITAL,1.2.2.1,"The senior manager facilitates communication and cooperation between the organisation's governance structure, management and the community",linked_criteria,1.2.3.3,2,1,TRUE,TRUE
HOSPITAL,1.2.2.1,"The senior manager facilitates communication and cooperation between the organisation's governance structure, management and the community",linked_criteria,1.2.4.2,3,1,TRUE,TRUE
HOSPITAL,1.2.2.1,"The senior manager facilitates communication and cooperation between the organisation's governance structure, management and the community",root,1.2.3.3,1,1,TRUE,TRUE
HOSPITAL,1.2.2.1,"The senior manager facilitates communication and cooperation between the organisation's governance structure, management and the community",root,1.2.4.2,2,1,TRUE,TRUE
HOSPITAL,1.2.2.2,"The senior manager implements processes to manage and control human, financial and other resources 17.2.2.9 22.8.6.4 3",linked_criteria,1.3.1.3,1,1,TRUE,TRUE
HOSPITAL,1.2.2.2,"The senior manager implements processes to manage and control human, financial and other resources 17.2.2.9 22.8.6.4 3",linked_criteria,1.3.1.4,2,1,TRUE,TRUE
HOSPITAL,1.2.2.2,"The senior manager implements processes to manage and control human, financial and other resources 17.2.2.9 22.8.6.4 3",linked_criteria,1.3.1.5,3,1,TRUE,TRUE
HOSPITAL,1.2.2.2,"The senior manager implements processes to manage and control human, financial and other resources 17.2.2.9 22.8.6.4 3",linked_criteria,2.2.1.1,4,1,TRUE,TRUE
HOSPITAL,1.2.2.2,"The senior manager implements processes to manage and control human, financial and other resources 17.2.2.9 22.8.6.4 3",linked_criteria,24.8.5.4,5,1,TRUE,TRUE
HOSPITAL,1.2.2.2,"The senior manager implements processes to manage and control human, financial and other resources 17.2.2.9 22.8.6.4 3",linked_criteria,27.2.3.3,6,1,TRUE,TRUE
HOSPITAL,1.2.2.2,"The senior manager implements processes to manage and control human, financial and other resources 17.2.2.9 22.8.6.4 3",linked_criteria,3.1.1.4,7,1,TRUE,TRUE
HOSPITAL,1.2.2.2,"The senior manager implements processes to manage and control human, financial and other resources 17.2.2.9 22.8.6.4 3",linked_criteria,30.2.1.1,8,1,TRUE,TRUE
HOSPITAL,1.2.2.2,"The senior manager implements processes to manage and control human, financial and other resources 17.2.2.9 22.8.6.4 3",linked_criteria,30.2.1.2,9,1,TRUE,TRUE
HOSPITAL,1.2.2.2,"The senior manager implements processes to manage and control human, financial and other resources 17.2.2.9 22.8.6.4 3",linked_criteria,32.2.1.1,10,1,TRUE,TRUE
HOSPITAL,1.2.2.2,"The senior manager implements processes to manage and control human, financial and other resources 17.2.2.9 22.8.6.4 3",linked_criteria,33.2.1.1,11,1,TRUE,TRUE
HOSPITAL,1.2.2.2,"The senior manager implements processes to manage and control human, financial and other resources 17.2.2.9 22.8.6.4 3",linked_criteria,34.2.1.1,12,1,TRUE,TRUE
HOSPITAL,1.2.2.2,"The senior manager implements processes to manage and control human, financial and other resources 17.2.2.9 22.8.6.4 3",linked_criteria,35.2.1.1,13,1,TRUE,TRUE
HOSPITAL,1.2.2.2,"The senior manager implements processes to manage and control human, financial and other resources 17.2.2.9 22.8.6.4 3",linked_criteria,36.2.1.1,14,1,TRUE,TRUE
HOSPITAL,1.2.2.2,"The senior manager implements processes to manage and control human, financial and other resources 17.2.2.9 22.8.6.4 3",linked_criteria,37.2.1.1,15,1,TRUE,TRUE
HOSPITAL,1.2.2.2,"The senior manager implements processes to manage and control human, financial and other resources 17.2.2.9 22.8.6.4 3",linked_criteria,38.2.1.1,16,1,TRUE,TRUE
HOSPITAL,1.2.2.2,"The senior manager implements processes to manage and control human, financial and other resources 17.2.2.9 22.8.6.4 3",root,1.3.1.3,1,1,TRUE,TRUE
HOSPITAL,1.2.2.2,"The senior manager implements processes to manage and control human, financial and other resources 17.2.2.9 22.8.6.4 3",root,1.3.1.4,2,1,TRUE,TRUE
HOSPITAL,1.2.2.2,"The senior manager implements processes to manage and control human, financial and other resources 17.2.2.9 22.8.6.4 3",root,1.3.1.5,3,1,TRUE,TRUE
HOSPITAL,1.2.2.2,"The senior manager implements processes to manage and control human, financial and other resources 17.2.2.9 22.8.6.4 3",root,17.2.1.7,4,1,TRUE,TRUE
HOSPITAL,1.2.2.2,"The senior manager implements processes to manage and control human, financial and other resources 17.2.2.9 22.8.6.4 3",root,24.8.5.4,5,1,TRUE,TRUE
HOSPITAL,1.2.2.2,"The senior manager implements processes to manage and control human, financial and other resources 17.2.2.9 22.8.6.4 3",root,27.2.3.3,6,1,TRUE,TRUE
HOSPITAL,1.2.2.2,"The senior manager implements processes to manage and control human, financial and other resources 17.2.2.9 22.8.6.4 3",root,3.1.1.4,7,1,TRUE,TRUE
HOSPITAL,1.2.2.2,"The senior manager implements processes to manage and control human, financial and other resources 17.2.2.9 22.8.6.4 3",root,3.3.1.5,8,1,TRUE,TRUE
HOSPITAL,1.2.2.2,"The senior manager implements processes to manage and control human, financial and other resources 17.2.2.9 22.8.6.4 3",root,3.4.1.2,9,1,TRUE,TRUE
HOSPITAL,1.2.2.2,"The senior manager implements processes to manage and control human, financial and other resources 17.2.2.9 22.8.6.4 3",root,3.4.2.4,10,1,TRUE,TRUE
HOSPITAL,1.2.2.2,"The senior manager implements processes to manage and control human, financial and other resources 17.2.2.9 22.8.6.4 3",root,30.2.1.1,11,1,TRUE,TRUE
HOSPITAL,1.2.2.2,"The senior manager implements processes to manage and control human, financial and other resources 17.2.2.9 22.8.6.4 3",root,32.2.1.1,12,1,TRUE,TRUE
HOSPITAL,1.2.2.2,"The senior manager implements processes to manage and control human, financial and other resources 17.2.2.9 22.8.6.4 3",root,32.2.1.2,13,1,TRUE,TRUE
HOSPITAL,1.2.2.2,"The senior manager implements processes to manage and control human, financial and other resources 17.2.2.9 22.8.6.4 3",root,33.2.1.2,14,1,TRUE,TRUE
HOSPITAL,1.2.2.2,"The senior manager implements processes to manage and control human, financial and other resources 17.2.2.9 22.8.6.4 3",root,34.2.1.2,15,1,TRUE,TRUE
HOSPITAL,1.2.2.2,"The senior manager implements processes to manage and control human, financial and other resources 17.2.2.9 22.8.6.4 3",root,35.2.1.1,16,1,TRUE,TRUE
HOSPITAL,1.2.2.2,"The senior manager implements processes to manage and control human, financial and other resources 17.2.2.9 22.8.6.4 3",root,35.2.1.2,17,1,TRUE,TRUE
HOSPITAL,1.2.2.2,"The senior manager implements processes to manage and control human, financial and other resources 17.2.2.9 22.8.6.4 3",root,36.2.1.1,18,1,TRUE,TRUE
HOSPITAL,1.2.2.2,"The senior manager implements processes to manage and control human, financial and other resources 17.2.2.9 22.8.6.4 3",root,36.2.1.2,19,1,TRUE,TRUE
HOSPITAL,1.2.2.2,"The senior manager implements processes to manage and control human, financial and other resources 17.2.2.9 22.8.6.4 3",root,37.2.1.1,20,1,TRUE,TRUE
HOSPITAL,1.2.2.2,"The senior manager implements processes to manage and control human, financial and other resources 17.2.2.9 22.8.6.4 3",root,37.2.1.2,21,1,TRUE,TRUE
HOSPITAL,1.2.2.2,"The senior manager implements processes to manage and control human, financial and other resources 17.2.2.9 22.8.6.4 3",root,38.2.1.1,22,1,TRUE,TRUE
HOSPITAL,1.2.2.2,"The senior manager implements processes to manage and control human, financial and other resources 17.2.2.9 22.8.6.4 3",root,38.9.1.5,23,1,TRUE,TRUE
HOSPITAL,1.2.2.3,"The senior manager ensures that the required physical facilities, installations and equipment are available and are used optimally to provide the specified services. -5 4.2.2.6 5.2.2.2 6.2.2.3 7.5.1.1 9.2.2.3 10.2.1.1 11.2.1.1 12.2.1.1",linked_criteria,13.2.1.1,1,1,TRUE,TRUE
HOSPITAL,1.2.2.3,"The senior manager ensures that the required physical facilities, installations and equipment are available and are used optimally to provide the specified services. -5 4.2.2.6 5.2.2.2 6.2.2.3 7.5.1.1 9.2.2.3 10.2.1.1 11.2.1.1 12.2.1.1",linked_criteria,14.2.1.1,2,1,TRUE,TRUE
HOSPITAL,1.2.2.3,"The senior manager ensures that the required physical facilities, installations and equipment are available and are used optimally to provide the specified services. -5 4.2.2.6 5.2.2.2 6.2.2.3 7.5.1.1 9.2.2.3 10.2.1.1 11.2.1.1 12.2.1.1",linked_criteria,15.2.1.1,3,1,TRUE,TRUE
HOSPITAL,1.2.2.3,"The senior manager ensures that the required physical facilities, installations and equipment are available and are used optimally to provide the specified services. -5 4.2.2.6 5.2.2.2 6.2.2.3 7.5.1.1 9.2.2.3 10.2.1.1 11.2.1.1 12.2.1.1",linked_criteria,16.2.1.1,4,1,TRUE,TRUE
HOSPITAL,1.2.2.3,"The senior manager ensures that the required physical facilities, installations and equipment are available and are used optimally to provide the specified services. -5 4.2.2.6 5.2.2.2 6.2.2.3 7.5.1.1 9.2.2.3 10.2.1.1 11.2.1.1 12.2.1.1",linked_criteria,17.2.1.1,5,1,TRUE,TRUE
HOSPITAL,1.2.2.3,"The senior manager ensures that the required physical facilities, installations and equipment are available and are used optimally to provide the specified services. -5 4.2.2.6 5.2.2.2 6.2.2.3 7.5.1.1 9.2.2.3 10.2.1.1 11.2.1.1 12.2.1.1",linked_criteria,17.2.1.4,6,1,TRUE,TRUE
