facilityType,seNumber,sectionPiId,sectionTitle,sortOrder,active
HOSPITAL,22,22.11,Continuity of Care,11,TRUE
HOSPITAL,22,22.12,Quality Improvement,12,TRUE
HOSPITAL,22,22.13,Patient Rights,13,TRUE
HOSPITAL,22,22.14,Prevention and Control of Infection,14,TRUE
HOSPITAL,22,22.15,Risk Management,15,TRUE
HOSPITAL,23,23.1,Coordination of Patient Care,1,TRUE
HOSPITAL,23,23.2,Facilities and Equipment,2,TRUE
HOSPITAL,23,23.3,Clinical Practice Guidelines,3,TRUE
HOSPITAL,23,23.4,Assessment of Patients,4,TRUE
HOSPITAL,23,23.5,Diagnostic Services,5,TRUE
HOSPITAL,23,23.6,Patient Care,6,TRUE
HOSPITAL,23,23.7,Medication,7,TRUE
HOSPITAL,23,23.8,Patient and Family Education,8,TRUE
HOSPITAL,23,23.9,Continuity of Care,9,TRUE
HOSPITAL,23,23.10,Quality Improvement,10,TRUE
HOSPITAL,23,23.11,Patient Rights,11,TRUE
HOSPITAL,23,23.12,Prevention and Control of Infection,12,TRUE
HOSPITAL,23,23.13,Risk Management,13,TRUE
HOSPITAL,24,24.1,Coordination of Patient Care,1,TRUE
HOSPITAL,24,24.2,Facilities and Equipment,2,TRUE
HOSPITAL,24,24.3,Visitor Control,3,TRUE
HOSPITAL,24,24.4,Patient Registers,4,TRUE
HOSPITAL,24,24.5,Clinical Practice Guidelines,5,TRUE
HOSPITAL,24,24.6,Assessment  of Patients,6,TRUE
HOSPITAL,24,24.7,Diagnostic Services,7,TRUE
HOSPITAL,24,24.8,Patient Care,8,TRUE
HOSPITAL,24,24.9,Medication,9,TRUE
HOSPITAL,24,24.10,Patient and Family Education,10,TRUE
HOSPITAL,24,24.11,Continuity of Care,11,TRUE
HOSPITAL,24,24.12,Quality Improvement,12,TRUE
HOSPITAL,24,24.13,Patient Rights,13,TRUE
HOSPITAL,24,24.14,Prevention and Control of Infection,14,TRUE
HOSPITAL,24,24.15,Risk Management,15,TRUE
HOSPITAL,25,25.1,Management,1,TRUE
HOSPITAL,25,25.2,Facilities and Equipment,2,TRUE
HOSPITAL,25,25.3,Quality Improvement,3,TRUE
HOSPITAL,25,25.4,Prevention and Control of Infection,4,TRUE
HOSPITAL,25,25.5,Risk Management,5,TRUE
HOSPITAL,26,26.1,Management of the Service,1,TRUE
HOSPITAL,26,26.2,Facilities and Equipment,2,TRUE
HOSPITAL,26,26.3,Policies and Procedures,3,TRUE
HOSPITAL,26,26.4,Menu Planning,4,TRUE
HOSPITAL,26,26.5,Maintenance of Food Hygiene,5,TRUE
HOSPITAL,26,26.6,Quality Improvement,6,TRUE
HOSPITAL,26,26.7,Patient Rights,7,TRUE
HOSPITAL,26,26.8,Prevention and Control of Infection,8,TRUE
HOSPITAL,26,26.9,Risk Management,9,TRUE
HOSPITAL,27,27.1,Management,1,TRUE
HOSPITAL,27,27.2,Facilities and Equipment,2,TRUE
HOSPITAL,27,27.3,Policies and Procedures,3,TRUE
HOSPITAL,27,27.4,Quality Improvement,4,TRUE
HOSPITAL,27,27.5,Patient Rights,5,TRUE
HOSPITAL,27,27.6,Prevention and Control of Infection,6,TRUE
HOSPITAL,27,27.7,Risk Management,7,TRUE
HOSPITAL,28,28.1,Management of the Service,1,TRUE
HOSPITAL,28,28.2,Facilities and Equipment,2,TRUE
HOSPITAL,28,28.3,Policies and Procedures,3,TRUE
HOSPITAL,28,28.4,Waste Disposal,4,TRUE
HOSPITAL,28,28.5,Quality Improvement,5,TRUE
HOSPITAL,28,28.6,Patient Rights,6,TRUE
HOSPITAL,28,28.7,Prevention and Control of Infection,7,TRUE
HOSPITAL,28,28.8,Risk Management,8,TRUE
HOSPITAL,29,29.1,Management of the Service,1,TRUE
HOSPITAL,29,29.2,Facility Management,2,TRUE
HOSPITAL,29,29.3,Emergency Preparedness,3,TRUE
HOSPITAL,29,29.4,Quality Improvement,4,TRUE
HOSPITAL,29,29.5,Prevention and Control of Infection,5,TRUE
HOSPITAL,29,29.6,Risk Management,6,TRUE
HOSPITAL,30,30.1,Resuscitation Committee,1,TRUE
HOSPITAL,30,30.2,Equipment and Medications,2,TRUE
HOSPITAL,30,30.3,Education and Training,3,TRUE
HOSPITAL,30,30.4,Quality Improvement,4,TRUE
HOSPITAL,31,31.1,Medical Equipment Support,1,TRUE
HOSPITAL,31,31.2,Medical Equipment Management,2,TRUE
HOSPITAL,31,31.3,Personnel Training,3,TRUE
HOSPITAL,31,31.4,Equipment Safety,4,TRUE
HOSPITAL,31,31.5,Quality Improvement,5,TRUE
HOSPITAL,31,31.6,Prevention and Control of Infection,6,TRUE
