facilityType,seNumber,dataElementUid,code,dhis2DataElementCode,name,dhis2DataElementName,shortName,formName,valueType,domainType,optionSetUid,active
HOSPITAL,2,yUYNt7Q8RIh,2.1.1.2,159-HOSPITAL_2.1.1.2,The human resource manager is suitably qualified and experienced in human resource management.,SURV_HOSP_159-The human resource manager is suitably qualified and experienced in human resource management.,2.1.1.2,2.1.1.2,TEXT,TRACKER,,TRUE
HOSPITAL,2,DKrqw4uAbI5,2.1.1.3,161-HOSPITAL_2.1.1.3,The human resource manager ensures that policies and procedures are available to guide the personnel and that they are implemented.,SURV_HOSP_161-The human resource manager ensures that policies and procedures are available to guide the personnel and that they are implemented.,2.1.1.3,2.1.1.3,TEXT,TRACKER,,TRUE
HOSPITAL,2,VzhCMyqUAwE,2.1.1.4,163-HOSPITAL_2.1.1.4,The human resource manager uses information on staffing needs provided by clinical and managerial personnel to ensure adequate staff provision.,SURV_HOSP_163-The human resource manager uses information on staffing needs provided by clinical and managerial personnel to ensure adequate staff provision.,2.1.1.4,2.1.1.4,TEXT,TRACKER,,TRUE
HOSPITAL,2,wqDAeNgBFMR,2.1.1.5,165-HOSPITAL_2.1.1.5,"Details of the organisation’s absenteeism, sickness rates and staff turnover rates are recorded and analysed, to allow for informed decision making by the management of the organisation.","SURV_HOSP_165-Details of the organisation's absenteeism, sickness rates and staff turnover rates are recorded and analysed, to allow for informed decision making by the management of the organisation.",2.1.1.5,2.1.1.5,TEXT,TRACKER,,TRUE
HOSPITAL,2,be8YsDAy6ZU,2.1.1.6,167-HOSPITAL_2.1.1.6,"Details of the staff establishment (i.e. available posts, filled and vacant posts) are recorded and analysed to allow for informed decision making by the organisation’s management.","SURV_HOSP_167-Details of the staff establishment (i.e. available posts, filled and vacant posts) are recorded and analysed to allow for informed decision making by the organisation's management.",2.1.1.6,2.1.1.6,TEXT,TRACKER,,TRUE
HOSPITAL,2,LZo1cXtEeKv,2.1.1.7,169-HOSPITAL_2.1.1.7,"Receptionists, telephonists, clerical support personnel and porters are allocated to wards and departments in accordance with their needs.","SURV_HOSP_169-Receptionists, telephonists, clerical support personnel and porters are allocated to wards and departments in accordance with their needs.",2.1.1.7,2.1.1.7,TEXT,TRACKER,,TRUE
HOSPITAL,2,Xg6v8vwv4DQ,2.1.2.1,173-HOSPITAL_2.1.2.1,A designated member of staff is responsible for the storage and retrieval of personnel records.,SURV_HOSP_173-A designated member of staff is responsible for the storage and retrieval of personnel records.,2.1.2.1,2.1.2.1,TEXT,TRACKER,,TRUE
HOSPITAL,2,sKSR7eQ01OQ,2.1.2.2,175-HOSPITAL_2.1.2.2,There is documented personnel information on each staff member.,SURV_HOSP_175-There is documented personnel information on each staff member.,2.1.2.2,2.1.2.2,TEXT,TRACKER,,TRUE
HOSPITAL,2,ujU3OxfHU8j,2.1.2.3,177-HOSPITAL_2.1.2.3,Personnel files are standardised.,SURV_HOSP_177-Personnel files are standardised.,2.1.2.3,2.1.2.3,TEXT,TRACKER,,TRUE
HOSPITAL,2,L31eBBZ5AT4,2.1.2.4,179-HOSPITAL_2.1.2.4,Personnel files are reviewed at least annually.,SURV_HOSP_179-Personnel files are reviewed at least annually.,2.1.2.4,2.1.2.4,TEXT,TRACKER,,TRUE
HOSPITAL,2,HAkzKddnH9K,2.1.2.5,181-HOSPITAL_2.1.2.5,Personnel files contain employment contracts/job description.,SURV_HOSP_181-Personnel files contain employment contracts/job description.,2.1.2.5,2.1.2.5,TEXT,TRACKER,,TRUE
HOSPITAL,2,gXnTHyO0qPO,2.1.2.6,183-HOSPITAL_2.1.2.6,Personnel files contain the qualifications of the staff member.,SURV_HOSP_183-Personnel files contain the qualifications of the staff member.,2.1.2.6,2.1.2.6,TEXT,TRACKER,,TRUE
HOSPITAL,2,OXruMf16WPB,2.1.2.7,185-HOSPITAL_2.1.2.7,Personnel files contain details of staff evaluations.,SURV_HOSP_185-Personnel files contain details of staff evaluations.,2.1.2.7,2.1.2.7,TEXT,TRACKER,,TRUE
HOSPITAL,2,Hved3gLJv0U,2.1.2.8,187-HOSPITAL_2.1.2.8,Personnel files contain the work history of the staff member.,SURV_HOSP_187-Personnel files contain the work history of the staff member.,2.1.2.8,2.1.2.8,TEXT,TRACKER,,TRUE
HOSPITAL,2,QnMOvwwuySY,2.1.2.9,189-HOSPITAL_2.1.2.9,Personnel files contain a record of in-service education attended by the staff member.,SURV_HOSP_189-Personnel files contain a record of in-service education attended by the staff member.,2.1.2.9,2.1.2.9,TEXT,TRACKER,,TRUE
HOSPITAL,2,uRJrlyLLbkw,2.1.2.10,191-HOSPITAL_2.1.2.10,Only authorised persons have access to personnel records.,SURV_HOSP_191-Only authorised persons have access to personnel records.,2.1.2.10,2.1.2.10,TEXT,TRACKER,,TRUE
HOSPITAL,2,I9htiRxsVKm,2.2.1.1,196-HOSPITAL_2.2.1.1,There are documented processes for staffing the organisation.,SURV_HOSP_196-There are documented processes for staffing the organisation.,2.2.1.1,2.2.1.1,TEXT,TRACKER,,TRUE
HOSPITAL,2,dvza0wvk2G7,2.2.1.2,198-HOSPITAL_2.2.1.2,The processes include personnel recruitment.,SURV_HOSP_198-The processes include personnel recruitment.,2.2.1.2,2.2.1.2,TEXT,TRACKER,,TRUE
HOSPITAL,2,N7TzpqNzt5c,2.2.1.3,200-HOSPITAL_2.2.1.3,The processes include numbers and categories of personnel required.,SURV_HOSP_200-The processes include numbers and categories of personnel required.,2.2.1.3,2.2.1.3,TEXT,TRACKER,,TRUE
HOSPITAL,2,EN1WJXRuO5Y,2.2.1.4,202-HOSPITAL_2.2.1.4,"The processes include desired education, qualifications, skills and knowledge of required personnel.","SURV_HOSP_202-The processes include desired education, qualifications, skills and knowledge of required personnel.",2.2.1.4,2.2.1.4,TEXT,TRACKER,,TRUE
HOSPITAL,2,otCzrpm35kU,2.2.1.5,204-HOSPITAL_2.2.1.5,The processes include assignment and reassignment of personnel.,SURV_HOSP_204-The processes include assignment and reassignment of personnel.,2.2.1.5,2.2.1.5,TEXT,TRACKER,,TRUE
HOSPITAL,2,STQiDvgmq6n,2.2.1.6,206-HOSPITAL_2.2.1.6,The processes include personal development of the personnel.,SURV_HOSP_206-The processes include personal development of the personnel.,2.2.1.6,2.2.1.6,TEXT,TRACKER,,TRUE
HOSPITAL,2,G3nxa8r1ZFW,2.2.1.7,208-HOSPITAL_2.2.1.7,The processes include staff retention.,SURV_HOSP_208-The processes include staff retention.,2.2.1.7,2.2.1.7,TEXT,TRACKER,,TRUE
HOSPITAL,2,jT9rP4uAP0F,2.3.1.1,213-HOSPITAL_2.3.1.1,"Personnel employed by the organisation have written job description and performance agreements, which define their responsibilities.","SURV_HOSP_213-Personnel employed by the organisation have written job descriptions and performance agreements, which define their responsibilities.",2.3.1.1,2.3.1.1,TEXT,TRACKER,,TRUE
HOSPITAL,2,JEVVOfbVMF1,2.3.1.2,215-HOSPITAL_2.3.1.2,Job descriptions and performance agreements are reviewed according to organisational policy.,SURV_HOSP_215-Job descriptions and performance agreements are reviewed according to organisational policy.,2.3.1.2,2.3.1.2,TEXT,TRACKER,,TRUE
HOSPITAL,2,GYJDSrsUCSR,2.3.1.3,217-HOSPITAL_2.3.1.3,Each staff member accepts their job description and performance agreement by signing it.,SURV_HOSP_217-Each staff member accepts their job description and performance agreement by signing it.,2.3.1.3,2.3.1.3,TEXT,TRACKER,,TRUE
HOSPITAL,2,i5uWz1LoXnH,2.3.2.1,221-HOSPITAL_2.3.2.1,Key performance areas for each personnel member are identified in their job descriptions and performance agreements.,SURV_HOSP_221-Key performance areas for each staff member are identified in their job descriptions and performance agreements.,2.3.2.1,2.3.2.1,TEXT,TRACKER,,TRUE
HOSPITAL,2,lOI96Ar9eej,2.3.2.2,223-HOSPITAL_2.3.2.2,There is at least one documented evaluation of each personnel member each year or more frequently as defined by organisational policy.,SURV_HOSP_223-There is at least one documented evaluation of each staff member each year or more frequently as defined by organisational policy.,2.3.2.2,2.3.2.2,TEXT,TRACKER,,TRUE
HOSPITAL,2,gxjndbZ7FD2,2.3.2.3,225-HOSPITAL_2.3.2.3,New personnel members are evaluated as defined by organisational policy.,SURV_HOSP_225-New staff members are evaluated as defined by organisational policy.,2.3.2.3,2.3.2.3,TEXT,TRACKER,,TRUE
HOSPITAL,2,QMaJxSBs5na,2.3.3.1,229-HOSPITAL_2.3.3.1,Designated personnel are educated/trained in labour law legislation and related processes.,SURV_HOSP_229-Designated personnel are educated/trained in labour law legislation and related processes.,2.3.3.1,2.3.3.1,TEXT,TRACKER,,TRUE
