facilityType,seNumber,sectionPiId,standardId,questionCode,questionText,guideline,category,severity,isCritical,dataElementUid,dhis2DataElementCode,dhis2DataElementName,uidMatchMethod,valueType,domainType,optionSetUid,compulsory,sortOrderWithinStandard,active
HOSPITAL,1,1.2,1.2.7,1.2.7.5,Volunteers sign a memorandum of agreement to abide by the conditions of the centre.,,Basic Process + Patient Care,3,FALSE,,,,,TEXT,TRACKER,,FALSE,5,TRUE
HOSPITAL,1,1.2,1.2.7,1.2.7.6,There are written policies and procedures for the activities of the volunteer service.,,Basic Process + Patient Care,3,FALSE,,,,,TEXT,TRACKER,,FALSE,6,TRUE
HOSPITAL,1,1.2,1.2.8,1.2.8.1,"The organisation’s leaders promote communication among departments, services and individual staff members.","Consider formal interdepartmental meetings, written communications in the form of policies, memos, service level agreements, clinical audit committees, drug and therapeutic committees, etc.",Basic Process + Patient Care,3,FALSE,,,,,TEXT,TRACKER,,FALSE,1,TRUE
HOSPITAL,1,1.2,1.2.8,1.2.8.2,"Agendas are prepared for meetings, and the personnel are given timely notification in order to prepare for participation.",An assessment of a sample of agendas/minutes of meetings should be undertaken to determine the trend and “general” compliance as the criterion should not be penalised on one or two exceptions. “Timely notification” should be assessed against the organisational policy framework on meetings and the circulation of agendas. This implies that the dates for circulating the agendas should be indicated.,Basic Process + Patient Care,3,FALSE,,,,,TEXT,TRACKER,,FALSE,2,TRUE
HOSPITAL,1,1.2,1.2.8,1.2.8.3,Minutes of meetings are taken and are circulated to all relevant personnel.,An assessment of a sample of minutes of meetings should be undertaken to determine the trend and “general” compliance as the criterion should not be penalised for one or two exceptions. The manner in which minutes are circulated should be assessed against the organisational policy framework and should consist of documented evidence of the circulation and acknowledgment of receipt.,Basic Process + Patient Care,3,FALSE,,,,,TEXT,TRACKER,,FALSE,3,TRUE
HOSPITAL,1,1.2,1.2.8,1.2.8.4,There is a mechanism to ensure that key issues resulting from meetings of the governing body and/or the management of the organisation are communicated to and acted upon by the personnel.,"The existing “mechanism” should be assessed for effectiveness in conveying this information to the personnel but please note the importance of searching for evidence of “and acted upon”. This generally requires that minutes should reflect the allocation of responsibilities for carrying out tasks and that these are reported on at subsequent meetings. Often feedback from the governing body meeting is via written internal communication (memo) but if it is stated that it is done at an “open” staff meetings, there should be documented evidence that this does actually happen.",Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,4,TRUE
HOSPITAL,1,1.3,1.3.1,1.3.1.1,The organisation ensures that a qualified individual manages each department or service in the organisation.,"National regulations and guidelines will apply. The qualifications of the incumbent will be assessed against the stated requirements for the position. The organogram should indicate the departmental arrangements and compliance is to be assessed against job profiles/post requirements. Besides departments, the “generic” services such as patient rights, information management, health and safety, infection control, quality management, resuscitation, medical equipment management, etc. are included. The final assessment score will be determined by findings from all departments/services. For example, this criterion may be scored PC: 1. If individual critical posts e.g. nursing manager, medical manager, pharmacy manager etc. are vacant; 2. If there is a high volume of departmental/service heads vacancies; 3. If there is a large number of departmental heads in acting positions.",Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,1,TRUE
HOSPITAL,1,1.3,1.3.1,1.3.1.2,The responsibilities of each departmental manager are defined in writing.,As for 1.3.1.1 with special reference to key performance areas. The final assessment score will be determined by aggregated findings from all departments/services and relevant criteria in SE 2. Refer to the comment under 1.3.1.3 with regard to “generic” functions.,Basic Process + Patient Care,3,FALSE,,,,,TEXT,TRACKER,,FALSE,2,TRUE
HOSPITAL,1,1.3,1.3.1,1.3.1.3,"The departmental or service manager implements processes to manage and control human, financial and other resources.","The score of this criterion should be based on the aggregated scores from the individual services and should take into consideration any critical/serious/important shortfalls identified with regard to, e.g. physical structure, maintenance installations such as vacuum, oxygen and water, hand washing facilities, etc. that may have an negative impact on service delivery, patient care, and the safety of patients, staff and visitors.",Basic Process + Patient Care,3,FALSE,,,,,TEXT,TRACKER,,FALSE,3,TRUE
HOSPITAL,1,1.3,1.3.1,1.3.1.4,The departmental or service manager ensures that there are sufficient personnel to provide the services.,"The score of this criterion is influenced by the outcome of the assessment of relevant criteria during the departmental surveys. All categories of staff in all departments (clinical and non-clinical) are included. Take note of links with relevant criteria in SE 2, especially standard 2.1.1. The score of this criterion should be based on the aggregated scores from the individual services and should take into consideration any critical/serious/important shortfalls identified with regard to staff shortages (both numbers and skills) that impact negatively on patient care and safety. A NC or PC rating for this criterion should be supported by staff numbers (vacancies) as listed in the accompanying “Situational Analysis” document.",Basic Process + Patient Care,4,TRUE,,,,,TEXT,TRACKER,,FALSE,4,TRUE
