root,linked,in_hl,in_mx,mx_color,tag,status
39.2.1.1,39.2.2.1,0,1,yellow,,MX_ONLY
39.2.1.1,39.2.3.1,0,1,yellow,,MX_ONLY
39.2.1.2,39.1.1.3,0,1,green,G,MX_ONLY
39.2.2.1,39.2.1.1,0,1,green,G,MX_ONLY
39.2.2.1,39.2.3.1,0,1,yellow,,MX_ONLY
39.2.2.10,7.2.5.2,0,1,green,G,MX_ONLY
39.2.3.1,39.2.1.1,0,1,green,G,MX_ONLY
39.2.3.1,39.2.2.1,0,1,green,G,MX_ONLY
39.3.1.1,1.2.2.3,0,1,green,G,MX_ONLY
39.3.1.1,29.2.1.1,0,1,green,G,MX_ONLY
39.3.1.1,4.2.2.6,0,1,green,G,MX_ONLY
39.3.1.2,31.2.1.5,0,1,green,G,MX_ONLY
39.3.1.3,30.2.1.2,0,1,green,G,MX_ONLY
39.3.1.4,29.2.1.2,0,1,green,G,MX_ONLY
39.3.1.5,29.2.2.1,0,1,green,G,MX_ONLY
39.3.1.5,29.2.3.2,0,1,green,G,MX_ONLY
39.3.1.7,29.3.1.1,0,1,green,G,MX_ONLY
39.3.1.7,29.3.1.5,0,1,green,G,MX_ONLY
39.3.2.1,39.1.3.5,0,1,green,G,MX_ONLY
39.3.4.2,1.3.2.1,0,1,green,G,MX_ONLY
39.3.4.5,2.4.2.4,0,1,green,G,MX_ONLY
39.3.5.1,1.3.2.1,0,1,green,G,MX_ONLY
39.3.5.1,7.2.5.1,0,1,green,G,MX_ONLY
39.3.5.1,9.2.1.8,0,1,green,G,MX_ONLY
39.3.6.1,5.6.1.1,0,1,green,G,MX_ONLY
39.3.6.3,5.6.1.1,0,1,green,G,MX_ONLY
39.4.1.11,21.2.1.7,0,1,green,G,MX_ONLY
39.4.1.2,21.5.1.9,0,1,green,G,MX_ONLY
39.4.1.4,21.5.1.11,0,1,green,G,MX_ONLY
39.4.1.5,21.5.1.12,0,1,green,G,MX_ONLY
39.4.1.7,21.5.1.8,0,1,green,G,MX_ONLY
39.4.1.8,21.5.1.9,0,1,green,G,MX_ONLY
39.4.1.9,21.5.1.8,0,1,green,G,MX_ONLY
39.4.2.1,1.3.2.1,0,1,green,G,MX_ONLY
39.4.2.1,21.1.2.1,0,1,green,G,MX_ONLY
39.4.2.1,21.3.1.1,0,1,green,G,MX_ONLY
39.4.2.1,39.1.1.3,0,1,green,G,MX_ONLY
39.4.2.11,21.1.2.1,0,1,green,G,MX_ONLY
39.4.2.11,21.9.1.2,0,1,green,G,MX_ONLY
39.4.2.13,21.6.1.1,0,1,green,G,MX_ONLY
39.4.2.13,21.9.1.2,0,1,green,G,MX_ONLY
39.4.2.13,39.8.1.6,0,1,yellow,,MX_ONLY
39.4.2.13,7.1.1.7,0,1,green,G,MX_ONLY
39.4.2.14,21.6.1.1,0,1,green,G,MX_ONLY
39.4.2.14,21.9.1.2,0,1,green,G,MX_ONLY
39.4.2.14,39.8.1.6,0,1,yellow,,MX_ONLY
39.4.2.14,7.1.1.7,0,1,green,G,MX_ONLY
39.4.2.2,39.1.1.3,0,1,green,G,MX_ONLY
39.4.2.3,39.1.1.3,0,1,green,G,MX_ONLY
39.4.2.6,21.3.1.1,0,1,green,G,MX_ONLY
39.4.2.7,21.3.1.1,0,1,green,G,MX_ONLY
39.4.2.7,39.4.2.8,0,1,yellow,,MX_ONLY
39.4.2.7,39.4.2.9,0,1,yellow,,MX_ONLY
39.4.2.7,7.2.2.1,0,1,green,G,MX_ONLY
39.4.2.8,39.4.2.7,0,1,green,G,MX_ONLY
39.4.2.8,7.2.1.3,0,1,green,G,MX_ONLY
39.4.2.9,1.2.6.6,0,1,green,G,MX_ONLY
39.4.2.9,21.3.1.1,0,1,green,G,MX_ONLY
39.4.2.9,39.4.2.7,0,1,green,G,MX_ONLY
39.5.1.1,26.4.1.3,0,1,green,G,MX_ONLY
39.5.1.5,39.6.1.5,0,1,green,G,MX_ONLY
39.5.1.7,1.3.2.1,0,1,green,G,MX_ONLY
39.5.1.7,21.3.1.1,0,1,green,G,MX_ONLY
39.5.1.7,34.4.1.1,0,1,green,G,MX_ONLY
39.6.1.3,4.2.3.2,0,1,green,G,MX_ONLY
39.6.1.3,5.3.1.2,0,1,green,G,MX_ONLY
39.6.1.4,4.2.3.3,0,1,green,G,MX_ONLY
39.6.1.5,39.5.1.5,0,1,green,G,MX_ONLY
39.7.1.1,1.3.2.1,0,1,green,G,MX_ONLY
39.7.2.1,1.2.5.4,0,1,green,G,MX_ONLY
39.7.3.1,1.2.5.4,0,1,green,G,MX_ONLY
39.7.3.1,39.7.3.3,0,1,yellow,,MX_ONLY
39.7.3.3,39.7.3.1,0,1,green,G,MX_ONLY
39.7.4.1,1.2.5.4,0,1,green,G,MX_ONLY
39.7.4.1,1.3.2.1,0,1,green,G,MX_ONLY
39.8.1.1,8.2.2.1,0,1,green,G,MX_ONLY
39.8.1.5,8.2.1.5,0,1,green,G,MX_ONLY
39.8.1.6,39.4.2.13,0,1,green,G,MX_ONLY
39.8.1.6,39.4.2.14,0,1,green,G,MX_ONLY
39.8.1.6,7.1.1.7,0,1,green,G,MX_ONLY
39.8.1.6,7.2.6.4,0,1,green,G,MX_ONLY
39.9.1.1,5.1.1.3,0,1,green,G,MX_ONLY
39.9.1.3,5.2.1.1,0,1,green,G,MX_ONLY
39.9.1.3,5.2.1.2,0,1,green,G,MX_ONLY
39.9.1.3,5.2.1.3,0,1,green,G,MX_ONLY
39.9.1.3,6.1.2.1,0,1,green,G,MX_ONLY
39.9.1.4,5.4.1.1,0,1,green,G,MX_ONLY
4.1.1.1,1.2.4.2,1,0,,,HL_ONLY
4.1.1.10,1.2.5.3,1,1,green,G,BOTH
4.1.1.10,22.11.5.1,0,1,yellow,,MX_ONLY
4.1.1.10,22.2.2.10,0,1,yellow,,MX_ONLY
4.1.1.10,23.2.2.8,0,1,yellow,,MX_ONLY
4.1.1.10,24.11.5.1,0,1,yellow,,MX_ONLY
4.1.1.10,24.2.2.9,0,1,yellow,,MX_ONLY
4.1.1.10,4.2.2.3,0,1,yellow,,MX_ONLY
4.1.1.6,1.2.2.3,1,1,green,G,BOTH
4.1.1.6,19.4.1.2,1,1,yellow,,BOTH
4.1.1.6,20.4.1.2,1,1,yellow,,BOTH
4.1.1.6,22.13.1.2,1,1,yellow,,BOTH
4.1.1.6,22.2.1.2,1,1,yellow,,BOTH
4.1.1.6,23.13.1.2,1,1,yellow,,BOTH
4.1.1.6,23.2.1.2,1,1,yellow,,BOTH
4.1.1.6,24.13.1.2,1,1,yellow,,BOTH
4.1.1.6,24.2.1.2,1,1,yellow,,BOTH
4.1.1.6,3.2.1.3,1,1,yellow,,BOTH
4.1.1.6,5.2.1.2,1,1,yellow,,BOTH
4.1.1.7,22.6.1.1,1,1,none,,BOTH
4.1.1.7,23.1.3.1,1,1,none,,BOTH
4.1.1.7,24.1.3.1,1,1,none,,BOTH
4.1.1.7,24.6.1.2,1,1,none,,BOTH
4.1.1.7,4.2.2.4,1,1,none,,BOTH
4.2.1.4,22.2.1.6,1,0,,,HL_ONLY
4.2.1.4,24.2.1.6,1,0,,,HL_ONLY
4.2.1.5,7.2.5.3,1,1,none,,BOTH
4.2.2.1,1.2.5.4,1,1,green,G,BOTH
4.2.2.1,22.4.1.2,1,1,yellow,,BOTH
4.2.2.1,23.1.3.2,1,1,yellow,,BOTH
4.2.2.1,24.1.3.3,0,1,yellow,,MX_ONLY
4.2.2.1,24.4.1.2,0,1,yellow,,MX_ONLY
4.2.2.1,7.2.1.1,1,1,yellow,,BOTH
4.2.2.2,1.2.5.4,1,1,green,G,BOTH
4.2.2.2,22.11.3.1,1,1,yellow,,BOTH
4.2.2.2,24.11.3.1,1,1,yellow,,BOTH
4.2.2.2,7.2.1.1,1,1,yellow,,BOTH
4.2.2.3,1.2.5.4,1,1,green,G,BOTH
4.2.2.3,4.1.1.10,1,1,yellow,,BOTH
4.2.2.4,1.2.5.4,1,1,green,G,BOTH
4.2.2.4,1.3.2.2,1,1,green,G,BOTH
4.2.2.4,22.6.1.2,1,1,yellow,,BOTH
4.2.2.4,23.1.3.1,1,1,yellow,,BOTH
4.2.2.4,23.1.3.5,0,1,yellow,,MX_ONLY
4.2.2.4,24.1.3.1,1,1,yellow,,BOTH
4.2.2.4,24.1.3.6,1,1,yellow,,BOTH
4.2.2.4,4.1.1.7,1,1,yellow,,BOTH
4.2.2.5,22.11.2.1,1,0,,,HL_ONLY
4.2.2.5,23.9.2.4,1,0,,,HL_ONLY
4.2.2.5,24.11.2.1,1,0,,,HL_ONLY
4.2.2.6,1.2.2.3,1,1,green,G,BOTH
4.2.2.6,10.2.1.1,1,1,yellow,,BOTH
4.2.2.6,11.2.1.1,1,1,yellow,,BOTH
4.2.2.6,12.2.1.1,1,1,yellow,,BOTH
4.2.2.6,13.2.1.1,1,1,yellow,,BOTH
4.2.2.6,14.2.1.1,1,1,yellow,,BOTH
4.2.2.6,15.2.1.1,1,1,yellow,,BOTH
4.2.2.6,16.2.1.1,1,1,yellow,,BOTH
4.2.2.6,22.11.3.4,0,1,yellow,,MX_ONLY
4.2.2.6,22.2.1.1,1,1,yellow,,BOTH
4.2.2.6,23.2.1.1,0,1,yellow,,MX_ONLY
4.2.2.6,24.11.3.4,0,1,yellow,,MX_ONLY
4.2.2.6,39.3.1.1,0,1,yellow,,MX_ONLY
4.2.2.6,40.3.1.1,0,1,yellow,,MX_ONLY
4.2.2.6,42.3.1.1,0,1,yellow,,MX_ONLY
4.2.2.6,43.3.1.1,0,1,yellow,,MX_ONLY
4.2.2.6,44.3.1.1,0,1,yellow,,MX_ONLY
4.2.2.6,45.3.1.6,0,1,yellow,,MX_ONLY
4.2.3.1,5.6.1.4,1,0,,,HL_ONLY
4.2.3.2,10.8.1.2,1,0,,,HL_ONLY
4.2.3.2,11.8.1.2,1,0,,,HL_ONLY
4.2.3.2,12.8.1.2,1,0,,,HL_ONLY
4.2.3.2,13.8.1.2,1,0,,,HL_ONLY
4.2.3.2,14.8.1.2,1,0,,,HL_ONLY
4.2.3.2,15.8.1.2,1,0,,,HL_ONLY
4.2.3.2,16.8.1.2,1,0,,,HL_ONLY
4.2.3.2,22.10.1.2,1,0,,,HL_ONLY
4.2.3.2,23.8.1.2,1,0,,,HL_ONLY
4.2.3.2,24.10.1.2,1,0,,,HL_ONLY
4.2.3.3,1.2.5.5,1,1,green,G,BOTH
4.2.3.3,10.8.1.4,1,1,yellow,,BOTH
4.2.3.3,11.8.1.4,1,1,yellow,,BOTH
4.2.3.3,12.8.1.4,1,1,yellow,,BOTH
4.2.3.3,13.8.1.4,1,1,yellow,,BOTH
4.2.3.3,14.8.1.4,1,1,yellow,,BOTH
4.2.3.3,15.8.1.4,1,1,yellow,,BOTH
4.2.3.3,16.8.1.4,1,1,yellow,,BOTH
4.2.3.3,22.10.1.3,1,1,yellow,,BOTH
4.2.3.3,23.8.1.4,0,1,yellow,,MX_ONLY
4.2.3.3,24.10.1.4,0,1,yellow,,MX_ONLY
4.2.3.3,32.5.1.2,0,1,yellow,,MX_ONLY
4.2.3.3,39.6.1.4,0,1,yellow,,MX_ONLY
4.2.3.3,40.6.1.4,0,1,yellow,,MX_ONLY
4.2.3.3,43.6.1.4,0,1,yellow,,MX_ONLY
4.2.3.3,44.6.1.4,0,1,yellow,,MX_ONLY
4.2.3.4,5.6.1.5,1,0,,,HL_ONLY
40.1.1.2,2.2.1.1,0,1,green,G,MX_ONLY
40.1.1.2,2.5.1.1,0,1,green,G,MX_ONLY
40.1.1.3,2.2.1.1,0,1,green,G,MX_ONLY
40.1.1.3,2.5.1.1,0,1,green,G,MX_ONLY
40.1.1.3,40.2.1.2,0,1,yellow,,MX_ONLY
40.1.1.3,40.4.2.1,0,1,yellow,,MX_ONLY
40.1.1.3,40.4.2.2,0,1,yellow,,MX_ONLY
40.1.1.3,40.4.2.3,0,1,yellow,,MX_ONLY
40.1.2.1,1.3.2.2,0,1,green,G,MX_ONLY
40.1.2.4,8.2.1.4,0,1,green,G,MX_ONLY
40.1.2.5,1.3.2.2,0,1,green,G,MX_ONLY
40.1.3.2,1.3.2.4,0,1,green,G,MX_ONLY
40.1.3.2,40.1.3.5,0,1,green,G,MX_ONLY
40.1.3.5,40.1.3.2,0,1,green,G,MX_ONLY
40.1.3.5,40.2.1.1,0,1,yellow,,MX_ONLY
40.1.3.5,40.3.2.1,0,1,yellow,,MX_ONLY
40.10.1.1,9.2.2.1,0,1,green,G,MX_ONLY
40.10.1.5,7.7.1.1,0,1,green,G,MX_ONLY
40.11.1.1,7.1.1.1,0,1,green,G,MX_ONLY
40.11.1.3,7.5.1.1,0,1,green,G,MX_ONLY
40.11.1.5,7.4.1.4,0,1,green,G,MX_ONLY
40.2.1.1,1.3.2.1,0,1,green,G,MX_ONLY
40.2.1.1,40.1.3.2,0,1,green,G,MX_ONLY
40.2.1.1,40.2.2.1,0,1,yellow,,MX_ONLY
40.2.1.1,40.2.3.1,0,1,yellow,,MX_ONLY
40.2.1.2,40.1.1.3,0,1,green,G,MX_ONLY
40.2.2.1,40.2.1.1,0,1,green,G,MX_ONLY
40.2.2.1,40.2.3.1,0,1,yellow,,MX_ONLY
40.2.2.10,7.2.5.2,0,1,green,G,MX_ONLY
40.2.3.1,40.2.1.1,0,1,green,G,MX_ONLY
40.2.3.1,40.2.2.1,0,1,green,G,MX_ONLY
40.3.1.1,1.2.2.3,0,1,green,G,MX_ONLY
40.3.1.1,29.2.1.1,0,1,green,G,MX_ONLY
40.3.1.1,4.2.2.6,0,1,green,G,MX_ONLY
40.3.1.2,31.2.1.5,0,1,green,G,MX_ONLY
40.3.1.3,30.2.1.2,0,1,green,G,MX_ONLY
40.3.1.4,29.2.1.2,0,1,green,G,MX_ONLY
